Brewery_Beer,Type_Names,Type_Counts,Style,Location,Country,Date
Founders Dank Wood Imperial Red,Ale,3231,Wood- and Barrel-aged Strong Beer,United States - Michigan,United States ,7/30/18
Gigantic Ginormous IPA,IPA,673,Imperial or Double IPA,United States - Oregon,United States ,7/31/18
Prairie Artisan Twist Saison,Porter,459,Classic Saison,United States - Oklahoma,United States ,7/30/18
Alpine Duet,Stout,725,American-Style IPA,United States - California,United States ,7/30/18
Crane Raytown Common,Lambic,69,California Common Beer,United States - Missouri,United States ,7/30/18
Infusion (Southwest) Nelson Galaxy IPA,Sour,33,American-Style IPA,United States - Nebraska,United States ,7/26/18
Kros Strain Hop Streaker,Hefeweizen,290,Session Beer,United States - Nebraska,United States ,7/25/18
Kros Strain Bo Pils,Saison,112,Bohemian-Style Pilsener,United States - Nebraska,United States ,7/25/18
Scratchtown Prairie Fire Smoked Schwarzbier,Bitter,368,Smoke-Flavored Beer,United States - Nebraska,United States ,7/25/18
Bootleg Toasted Wheat,Tripel,126,Light American Wheat Beer with Yeast,United States - Nebraska,United States ,7/25/18
Bootleg Cling On American Wheat,Kölsch,103,Light American Wheat Beer with Yeast,United States - Nebraska,United States ,7/25/18
Millstream John's White Ale,Oktoberfest,228,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - Iowa,United States ,7/22/18
Ommegang Queen of Seven Kingdoms,Dunkel,204,Belgian-Style Sour Ale,United States - New York,United States ,7/22/18
Odell Rupture IPA,Pilsener,458,American-Style IPA,United States - Colorado,United States ,7/22/18
Boon Geuze Mariage Parfait 2013,Wit,382,Belgian-Style Gueuze Lambic,Belgium - Vlaams Brabant,Belgium ,7/20/18
Freehouse No. 43 Hefeweizen,Bock,427,South German-Style Hefeweizen/Hefeweissbier,United States - Minnesota,United States ,7/15/18
Freehouse No. 1 Kölsch,Cider,16,German-Style Kölsch/Köln-Style Kölsch,United States - Minnesota,United States ,7/15/18
Maple Island Sandbar Summer Ale,Weissbier,384,American-Style Pale Ale,United States - Minnesota,United States ,7/14/18
Maple Island Burlesque Kolsch,Beer,1302,German-Style Kölsch/Köln-Style Kölsch,United States - Minnesota,United States ,7/14/18
Prairie Pride Wind Devil Red IPA,,,American-Style IPA,United States - Nebraska,United States ,7/4/18
Prairie Pride Lip Kick,,,Strong Ale,United States - Nebraska,United States ,7/4/18
Prairie Pride Out West Pale Ale,,,American-Style Pale Ale,United States - Nebraska,United States ,7/4/18
Odell Sunny Rain Golden Tart,,,Specialty Beer,United States - Colorado,United States ,7/3/18
White Elm American Outlaw,,,Session Beer,United States - Nebraska,United States ,7/3/18
Three Floyds Zombie Dust,,,American-Style Strong Pale Ale,United States - Indiana,United States ,7/3/18
Boulevard 80 Shilling,,,Scottish-Style Export Ale,United States - Missouri,United States ,6/24/18
Boulevard Dry-Hopped Helles,,,Specialty Beer,United States - Missouri,United States ,6/24/18
Sierra Nevada Tropical Torpedo,,,American-Style IPA,United States - California,United States ,6/24/18
Zipline Gettin' Down,,,Imperial or Double IPA,United States - Nebraska,United States ,6/22/18
Anchor Brewers Pale Ale,,,American-Style Pale Ale,United States - California,United States ,6/17/18
Thunderhead Smoked Porter,,,Smoke-Flavored Beer,United States - Nebraska,United States ,6/14/18
Thunderhead Russian Imperial Stout,,,Wood- and Barrel-Aged Strong Stout,United States - Nebraska,United States ,6/14/18
Thunderhead Dry Irish Stout,,,Classic Irish-Style Dry Stout,United States - Nebraska,United States ,6/14/18
Thunderhead Frost Warning New England Style IPA,,,American-Style IPA,United States - Nebraska,United States ,6/14/18
Vis Major Shony's Favor,,,Scottish-Style Ale,United States - Nebraska,United States ,6/9/18
Vis Major If This Be Treason New England Style IPA,,,American-Style IPA,United States - Nebraska,United States ,6/9/18
Vis Major Monk's Chalice,,,Belgian-Style Tripel,United States - Nebraska,United States ,6/9/18
Vis Major The Golden,,,South German-Style Hefeweizen/Hefeweissbier,United States - Nebraska,United States ,6/9/18
Vis Major Wooden Dowser,,,Wood- and Barrel-Aged Strong Stout,United States - Nebraska,United States ,6/9/18
Scriptown Lone Tree XPA,,,American-Style Pale Ale,United States - Nebraska,United States ,6/6/18
"Scriptown Thanks, Chad! Hoppy Wheat",,,Specialty Beer,United States - Nebraska,United States ,6/6/18
Scriptown Sommer Kölsch,,,German-Style Kölsch/Köln-Style Kölsch,United States - Nebraska,United States ,6/6/18
5168 Big Love Pilsner,,,American-Style Pilsener,United States - Nebraska,United States ,5/29/18
White Elm Still Life Lager,,,American Lager/Ale or Cream Ale,United States - Nebraska,United States ,5/29/18
Prairie Pride Trouble In Dublin,,,Irish-Style Red Ale,United States - Nebraska,United States ,5/29/18
Prairie Pride Märzen Stolz,,,German-Style Märzen/Oktoberfest,United States - Nebraska,United States ,7/4/18
Backswing Brown Ale,,,American-Style Brown Ale,United States - Nebraska,United States ,5/29/18
Pint Nine Ryce Lager,,,American Lager/Ale or Cream Ale,United States - Nebraska,United States ,5/26/18
